,tipo,nulos,%_nulos
Marital status,int64,0,0.0
Application mode,int64,0,0.0
Application order,int64,0,0.0
Course,int64,0,0.0
Daytime/evening attendance	,int64,0,0.0
Previous qualification,int64,0,0.0
Previous qualification (grade),float64,0,0.0
Nacionality,int64,0,0.0
Mother's qualification,int64,0,0.0
Father's qualification,int64,0,0.0
Mother's occupation,int64,0,0.0
Father's occupation,int64,0,0.0
Admission grade,float64,0,0.0
Displaced,int64,0,0.0
Educational special needs,int64,0,0.0
Debtor,int64,0,0.0
Tuition fees up to date,int64,0,0.0
Gender,int64,0,0.0
Scholarship holder,int64,0,0.0
Age at enrollment,int64,0,0.0
International,int64,0,0.0
Curricular units 1st sem (credited),int64,0,0.0
Curricular units 1st sem (enrolled),int64,0,0.0
Curricular units 1st sem (evaluations),int64,0,0.0
Curricular units 1st sem (approved),int64,0,0.0
Curricular units 1st sem (grade),float64,0,0.0
Curricular units 1st sem (without evaluations),int64,0,0.0
Curricular units 2nd sem (credited),int64,0,0.0
Curricular units 2nd sem (enrolled),int64,0,0.0
Curricular units 2nd sem (evaluations),int64,0,0.0
Curricular units 2nd sem (approved),int64,0,0.0
Curricular units 2nd sem (grade),float64,0,0.0
Curricular units 2nd sem (without evaluations),int64,0,0.0
Unemployment rate,float64,0,0.0
Inflation rate,float64,0,0.0
GDP,float64,0,0.0
Target,object,0,0.0
